Date,Customer,TipoDocumento,Num,Producto,Descripcion,Qty,SalesPrice,Amount,Balance,Class,SalesRep,TipoCliente,ID,Month
2025-05-28,Bake Mark USA LLC,Invoice,008-05536,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,1100.0,229.0,25190.0,4311644,Bulk Rice,Armando Carpio - 017,WHOLESALER MANUFACTURY,1388844,May
2025-05-28,Sedanos Supermarkets #24,Invoice,008-05618,Arroz Envasado:Largo Fino 1kg (Long grain rice) Dos Hermanos,,1.0,175.0,175.0,4311661,Branded Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1388845,May
2025-05-28,Sedanos Supermarkets #24,Invoice,008-05618,Spanish Style Yellow Rice:AS Spanish Style Yellow Rice,AS Spanish Style Yellow Rice 6 / 3.25 oz,1.0,345.0,345.0,4311696,American Spice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1388846,May
2025-05-28,Sedanos Supermarkets #24,Invoice,008-05618,,Discount,,,-104.0,4311695,,Keila Alfaro-Visvikis,RETAIL SEDANOS,1388847,May
2025-05-28,Sedanos Supermarkets #24,Invoice,008-05619,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,8.0,2825.0,226.0,4311921,Bulk Rice,Keila Alfaro-Visvikis,RETAIL SEDANOS,1388848,May
2025-05-28,Sedanos Supermarkets #24,Invoice,008-05619,,Discount,,,-452.0,4311916,,Keila Alfaro-Visvikis,RETAIL SEDANOS,1388849,May
2025-05-28,Food Giant Market  10 Ave.,Invoice,008-05620,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6  11lbs,15.0,465.0,6975.0,4312614,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1388850,May
2025-05-28,Food Giant Market  10 Ave.,Invoice,008-05620,Arroz Envasado:Parboiled 5KG Dos Hermanos.,6  11lbs,7.0,465.0,3255.0,4312939,Branded Rice,Keila Alfaro-Visvikis,RETAIL  DSD,1388851,May
2025-05-28,El Palacio de los jugos / Leti Corp.,Invoice,008-05621,Arroz a Granel:Largo Fino 50 LB -Bolsa Dos Hermanos.,,6.0,2785.0,1671.0,4313106,Bulk Rice,Lisset Limpio -020,Cafeteria,1388852,May
2025-05-28,El Palacio de los jugos / Leti Corp.,Invoice,008-05621,Arroz a Granel:Parboiled 50 LB -Bolsa Dos Hermanos.,,6.0,2675.0,1605.0,4313267,Bulk Rice,Lisset Limpio -020,Cafeteria,1388853,May
